Alumno[Nombre:  Elimar Morales Hernandez, Num. de Cuenta: 3210035, Edad: 25, Direccion: AV ISLAS  HAWAII, BAJA CALIFORNIA, BAJA CALIFORNIA,21339, Semestre: 10, Num. Inscripcion: 273],
Alumno[Nombre:  Aral Junio Dominguez Gonzalez, Num. de Cuenta: 3220036, Edad: 25, Direccion: BLVD DE LA PLATA, BAJA CALIFORNIA, BAJA CALIFORNIA,22163, Semestre: 8, Num. Inscripcion: 253],
Alumno[Nombre:  Aloe Elimar Morales Torres, Num. de Cuenta: 3240037, Edad: 22, Direccion: AV ADOLFO LOPEZ MATEOS, AGUASCALIENTES, AGUASCALIENTES,20240, Semestre: 4, Num. Inscripcion: 546],
Alumno[Nombre:  Kara Alvarez Vargas, Num. de Cuenta: 3220038, Edad: 22, Direccion: CARRETERA MOCHIS SAN BLAS, SINALOA, SINALOA,81893, Semestre: 7, Num. Inscripcion: 279],
Alumno[Nombre:  Larabi Vargas Guzman, Num. de Cuenta: 3220039, Edad: 24, Direccion: CALLE CERRADA DEL SOL, BAJA CALIFORNIA, BAJA CALIFORNIA,21255, Semestre: 8, Num. Inscripcion: 390],
Alumno[Nombre:  Arlena Idelia Mendoza Castillo, Num. de Cuenta: 3240040, Edad: 18, Direccion: EMILIANO ZAPATA, CIUDAD DE MEXICO, CIUDAD DE MEXICO,14735, Semestre: 3, Num. Inscripcion: 461],
Alumno[Nombre: Aitara Delvis Guzman Luna, Num. de Cuenta: 3220041, Edad: 25, Direccion: AV CENTENARIO, CIUDAD DE MEXICO, CIUDAD DE MEXICO,1600, Semestre: 7, Num. Inscripcion: 252],
Alumno[Nombre: Aitara Jimenez Sanchez, Num. de Cuenta: 3220042, Edad: 27, Direccion: VILLA CID, CIUDAD DE MEXICO, CIUDAD DE MEXICO,9700, Semestre: 8, Num. Inscripcion: 313],
Alumno[Nombre:  Delvis Martinez Aguilar, Num. de Cuenta: 3220043, Edad: 23, Direccion: PEKIN, CIUDAD DE MEXICO, CIUDAD DE MEXICO,15400, Semestre: 7, Num. Inscripcion: 239],
Alumno[Nombre:  Urias Eloa Cruz Herrera, Num. de Cuenta: 3220044, Edad: 25, Direccion: ETEN, CIUDAD DE MEXICO, CIUDAD DE MEXICO,7730, Semestre: 7, Num. Inscripcion: 243],
Alumno[Nombre:  Kalani Hernandez Rojas, Num. de Cuenta: 3210045, Edad: 24, Direccion: AVENIDA PLAN DE AYUTLA, BAJA CALIFORNIA, BAJA CALIFORNIA,21250, Semestre: 10, Num. Inscripcion: 186],
Alumno[Nombre:  Elimar Castillo Mendoza, Num. de Cuenta: 3220046, Edad: 25, Direccion: AV CONSTITUCION, BAJA CALIFORNIA, BAJA CALIFORNIA,22000, Semestre: 7, Num. Inscripcion: 287],
Alumno[Nombre:  Veda Gutierrez Ortiz, Num. de Cuenta: 3240047, Edad: 21, Direccion: ALBINO GARCIA, BAJA CALIFORNIA, BAJA CALIFORNIA,22055, Semestre: 3, Num. Inscripcion: 380],
Alumno[Nombre:  Sante Sensen Aguilar Morales, Num. de Cuenta: 3220048, Edad: 27, Direccion: CARRETERA MEXICALI SAN FELIPE, BAJA CALIFORNIA, BAJA CALIFORNIA,21383, Semestre: 7, Num. Inscripcion: 438],
Alumno[Nombre:  Kui Luna Martinez, Num. de Cuenta: 3250049, Edad: 18, Direccion: VERSALLES, CIUDAD DE MEXICO, CIUDAD DE MEXICO,6600, Semestre: 2, Num. Inscripcion: 477],
Alumno[Nombre:  Madai Cruz Reyes, Num. de Cuenta: 3230050, Edad: 23, Direccion: NICOLAS LEON, CIUDAD DE MEXICO, CIUDAD DE MEXICO,15900, Semestre: 6, Num. Inscripcion: 390],
Alumno[Nombre:  Junio Mendoza Moreno, Num. de Cuenta: 3220051, Edad: 23, Direccion: TLAXCALA, CIUDAD DE MEXICO, CIUDAD DE MEXICO,7210, Semestre: 7, Num. Inscripcion: 295],
Alumno[Nombre:  Naraya Ramos Mendez, Num. de Cuenta: 3220052, Edad: 22, Direccion: 1810, AGUASCALIENTES, AGUASCALIENTES,20180, Semestre: 7, Num. Inscripcion: 490],
Alumno[Nombre:  Rio Vidar Diaz Morales, Num. de Cuenta: 3210053, Edad: 27, Direccion: CANADA, TAMAULIPAS, TAMAULIPAS,89350, Semestre: 10, Num. Inscripcion: 193],
Alumno[Nombre:  Xue De la Cruz Perez, Num. de Cuenta: 3240054, Edad: 23, Direccion: BELLOTA, COAHUILA, COAHUILA,27989, Semestre: 4, Num. Inscripcion: 506],
Alumno[Nombre:  Sensen Flores Garcia, Num. de Cuenta: 3240055, Edad: 21, Direccion: FERNANDO ESPINOSA GUTIERREZ, CIUDAD DE MEXICO, CIUDAD DE MEXICO,1376, Semestre: 3, Num. Inscripcion: 388],
Alumno[Nombre:  Levin Guzman Ramos, Num. de Cuenta: 3220056, Edad: 27, Direccion: VIOLETA, CIUDAD DE MEXICO, CIUDAD DE MEXICO,6300, Semestre: 8, Num. Inscripcion: 234],
Alumno[Nombre:  Elimar Romero Luna, Num. de Cuenta: 3240057, Edad: 19, Direccion: CALLE 3, CIUDAD DE MEXICO, CIUDAD DE MEXICO,1400, Semestre: 3, Num. Inscripcion: 322],
Alumno[Nombre:  Nieva Alvarez Herrera, Num. de Cuenta: 3230058, Edad: 21, Direccion: PROL ADORATRICES, AGUASCALIENTES, AGUASCALIENTES,20126, Semestre: 5, Num. Inscripcion: 286],
Alumno[Nombre:  Loira Gutierrez Bautista, Num. de Cuenta: 3240059, Edad: 21, Direccion: PASEO SAN GERARDO, AGUASCALIENTES, AGUASCALIENTES,20126, Semestre: 4, Num. Inscripcion: 312],
Alumno[Nombre:  Numa Vazquez Martinez, Num. de Cuenta: 3250060, Edad: 19, Direccion: CALLE DEL HOSPITAL, BAJA CALIFORNIA, BAJA CALIFORNIA,21000, Semestre: 2, Num. Inscripcion: 437],
Alumno[Nombre:  Imeda Larabi Garcia Cruz, Num. de Cuenta: 3210061, Edad: 24, Direccion: CALZ VALLEJO, CIUDAD DE MEXICO, CIUDAD DE MEXICO,7730, Semestre: 9, Num. Inscripcion: 240],
Alumno[Nombre:  Tabara Aguilar Mendoza, Num. de Cuenta: 3220062, Edad: 26, Direccion: AZTECAS, CIUDAD DE MEXICO, CIUDAD DE MEXICO,15680, Semestre: 8, Num. Inscripcion: 411],
Alumno[Nombre:  Junio Castro Mendoza, Num. de Cuenta: 3210063, Edad: 25, Direccion: PARCELA 21 Z1 P 1/1, MEXICO, MEXICO,55700, Semestre: 9, Num. Inscripcion: 410],
Alumno[Nombre:  Tonino Salazar Garcia, Num. de Cuenta: 3230064, Edad: 22, Direccion: AV GENERAL SANTIAGO VIDAURRI, BAJA CALIFORNIA, BAJA CALIFORNIA,21387, Semestre: 5, Num. Inscripcion: 434],
Alumno[Nombre:  Anatol Reyes Dominguez, Num. de Cuenta: 3210065, Edad: 26, Direccion: GUANAJUATO, CIUDAD DE MEXICO, CIUDAD DE MEXICO,6700, Semestre: 10, Num. Inscripcion: 254],
Alumno[Nombre:  Tonino Chavez Hernandez, Num. de Cuenta: 3250066, Edad: 19, Direccion: REPUBLICAS, CIUDAD DE MEXICO, CIUDAD DE MEXICO,3300, Semestre: 2, Num. Inscripcion: 200],
Alumno[Nombre:  Aloe Mendez Ruiz, Num. de Cuenta: 3210067, Edad: 27, Direccion: BLVD A ZACATECAS, AGUASCALIENTES, AGUASCALIENTES,20311, Semestre: 10, Num. Inscripcion: 298],
Alumno[Nombre:  Sensen Ortiz Medina, Num. de Cuenta: 3240068, Edad: 22, Direccion: CALZADA GENESIS, BAJA CALIFORNIA, BAJA CALIFORNIA,21395, Semestre: 4, Num. Inscripcion: 348],
Alumno[Nombre:  Delvis Juarez Guerrero, Num. de Cuenta: 3210069, Edad: 25, Direccion: AV HEROE DE NACOZARI SUR, AGUASCALIENTES, AGUASCALIENTES,20269, Semestre: 10, Num. Inscripcion: 355],
Alumno[Nombre:  Rio Rodriguez Santiago, Num. de Cuenta: 3220070, Edad: 24, Direccion: FELIPE ANGELES, CIUDAD DE MEXICO, CIUDAD DE MEXICO,9720, Semestre: 7, Num. Inscripcion: 320],
Alumno[Nombre:  Kara Herrera Diaz, Num. de Cuenta: 3220071, Edad: 26, Direccion: PUERTO DE CAMPECHE, CIUDAD DE MEXICO, CIUDAD DE MEXICO,7580, Semestre: 8, Num. Inscripcion: 310],
Alumno[Nombre:  Elber Guzman Lopez, Num. de Cuenta: 3240072, Edad: 20, Direccion: SANTA LUCIA, CIUDAD DE MEXICO, CIUDAD DE MEXICO,8100, Semestre: 4, Num. Inscripcion: 236],
Alumno[Nombre:  Elimar Castro Vazquez, Num. de Cuenta: 3240073, Edad: 19, Direccion: CALZADA ERMITA IZTAPALAPA, CIUDAD DE MEXICO, CIUDAD DE MEXICO,4230, Semestre: 3, Num. Inscripcion: 366],
Alumno[Nombre:  Loira Perez Vargas, Num. de Cuenta: 3220074, Edad: 23, Direccion: CALZ ERMITA IZTAPALAPA, CIUDAD DE MEXICO, CIUDAD DE MEXICO,9609, Semestre: 7, Num. Inscripcion: 371],
Alumno[Nombre:  Kalani Reyes Herrera, Num. de Cuenta: 3220075, Edad: 25, Direccion: AVENIDA TLAHUAC, CIUDAD DE MEXICO, CIUDAD DE MEXICO,9860, Semestre: 8, Num. Inscripcion: 217],
Alumno[Nombre:  Aral Gutierrez Gutierrez, Num. de Cuenta: 3220076, Edad: 26, Direccion: MILAN, CIUDAD DE MEXICO, CIUDAD DE MEXICO,6600, Semestre: 8, Num. Inscripcion: 282],
Alumno[Nombre:  Anhara Hernandez Cruz, Num. de Cuenta: 3250077, Edad: 21, Direccion: TANAMA, BAJA CALIFORNIA, BAJA CALIFORNIA,21449, Semestre: 2, Num. Inscripcion: 163],
Alumno[Nombre:  Alane Mendoza Santiago, Num. de Cuenta: 3240078, Edad: 18, Direccion: AVE SATURNO, BAJA CALIFORNIA, BAJA CALIFORNIA,22034, Semestre: 3, Num. Inscripcion: 369],
Alumno[Nombre:  Kui Ramos Salazar, Num. de Cuenta: 3240079, Edad: 22, Direccion: AVENIDA MADERO, BAJA CALIFORNIA, BAJA CALIFORNIA,21100, Semestre: 4, Num. Inscripcion: 232],
Alumno[Nombre:  Naysa Mendoza Herrera, Num. de Cuenta: 3220080, Edad: 23, Direccion: PDA LOS PINOS, BAJA CALIFORNIA, BAJA CALIFORNIA,22120, Semestre: 7, Num. Inscripcion: 245],
Alumno[Nombre:  Haruka Castro Alvarez, Num. de Cuenta: 3220081, Edad: 22, Direccion: MAHATMA GANDHI, AGUASCALIENTES, AGUASCALIENTES,20280, Semestre: 7, Num. Inscripcion: 180],
Alumno[Nombre:  Nieva Aguilar Salazar, Num. de Cuenta: 3250082, Edad: 21, Direccion: AVE MEXICO LINDO, BAJA CALIFORNIA, BAJA CALIFORNIA,22126, Semestre: 2, Num. Inscripcion: 505],
Alumno[Nombre:  Aral Santiago Rivera, Num. de Cuenta: 3250083, Edad: 18, Direccion: PORTALES, BAJA CALIFORNIA SUR, BAJA CALIFORNIA SUR,23473, Semestre: 2, Num. Inscripcion: 300],
Alumno[Nombre:  Larabi Gutierrez Velazquez, Num. de Cuenta: 3220084, Edad: 25, Direccion: AV CENTENARIO, CIUDAD DE MEXICO, CIUDAD DE MEXICO,1600, Semestre: 8, Num. Inscripcion: 231],
Alumno[Nombre:  Junio De la Cruz Estrada, Num. de Cuenta: 3210085, Edad: 24, Direccion: CENTENARIO, CIUDAD DE MEXICO, CIUDAD DE MEXICO,"	1600", Semestre: 9, Num. Inscripcion: 491],
Alumno[Nombre:  Idelia Rojas Morales, Num. de Cuenta: 3210086, Edad: 27, Direccion: BLVDLAZARO CARDENAS, BAJA CALIFORNIA, BAJA CALIFORNIA,22117, Semestre: 10, Num. Inscripcion: 101],
Alumno[Nombre:  Kara Ortega Moreno, Num. de Cuenta: 3250087, Edad: 19, Direccion: AVENIDA PLAN DE AYUTLA, BAJA CALIFORNIA, BAJA CALIFORNIA,21250, Semestre: 2, Num. Inscripcion: 528],
Alumno[Nombre:  Daler Rodriguez Bautista, Num. de Cuenta: 3240088, Edad: 22, Direccion: CALZ GENERAL MARIANO ESCOBEDO, CIUDAD DE MEXICO, CIUDAD DE MEXICO,11320, Semestre: 4, Num. Inscripcion: 426],
Alumno[Nombre:  Lartaun Jimenez Guerrero, Num. de Cuenta: 3230089, Edad: 23, Direccion: CARRETERA SAN DIEGO SAN JULIAN, JALISCO, JALISCO,47590, Semestre: 5, Num. Inscripcion: 460],
Alumno[Nombre:  AralAnanda Ortiz Ramos, Num. de Cuenta: 3230090, Edad: 21, Direccion: AV FRANCISCO I MADERO, BAJA CALIFORNIA, BAJA CALIFORNIA,21100, Semestre: 5, Num. Inscripcion: 244],
Alumno[Nombre:  Lartaun Kui Moreno Diaz, Num. de Cuenta: 3220091, Edad: 27, Direccion: PROL 16 DE SEP, CIUDAD DE MEXICO, CIUDAD DE MEXICO,5370, Semestre: 7, Num. Inscripcion: 304],
Alumno[Nombre:  Urias Guzman Gomez, Num. de Cuenta: 3210092, Edad: 25, Direccion: MANUEL DUBLAN, CIUDAD DE MEXICO, CIUDAD DE MEXICO,11870, Semestre: 9, Num. Inscripcion: 312],
Alumno[Nombre:  Madai Guerrero Salazar, Num. de Cuenta: 3230093, Edad: 22, Direccion: AV MICHOACAN, CIUDAD DE MEXICO, CIUDAD DE MEXICO,9220, Semestre: 6, Num. Inscripcion: 351],
Alumno[Nombre: Ananda Garcia Ortiz, Num. de Cuenta: 3220094, Edad: 25, Direccion: LONDRES, COAHUILA, COAHUILA,25748, Semestre: 8, Num. Inscripcion: 398],
Alumno[Nombre:  Anhara Aloe Munoz Gutierrez, Num. de Cuenta: 3210095, Edad: 24, Direccion: AVIACION CIVIL, CIUDAD DE MEXICO, CIUDAD DE MEXICO,15540, Semestre: 9, Num. Inscripcion: 176],
Alumno[Nombre:  Delvis Sanchez Torres, Num. de Cuenta: 3240096, Edad: 20, Direccion: AV OSA MAYOR, TABASCO, TABASCO,86283, Semestre: 4, Num. Inscripcion: 284],
Alumno[Nombre:  Anhara Lopez Medina, Num. de Cuenta: 3220097, Edad: 22, Direccion: BLVD ENCINOS, BAJA CALIFORNIA, BAJA CALIFORNIA,21507, Semestre: 7, Num. Inscripcion: 202],
Alumno[Nombre:  Veda Contreras Mendoza, Num. de Cuenta: 3210098, Edad: 27, Direccion: MIGUEL OCARANZA, CIUDAD DE MEXICO, CIUDAD DE MEXICO,1600, Semestre: 10, Num. Inscripcion: 414],
Alumno[Nombre:  Kalani Romero Guzman, Num. de Cuenta: 3240099, Edad: 21, Direccion: CALLE FRAY SERVANDO TERESA DE MIER, CIUDAD DE MEXICO, CIUDAD DE MEXICO,6090, Semestre: 4, Num. Inscripcion: 239],
Alumno[Nombre:  Idelia Veda Rojas Contreras, Num. de Cuenta: 3210100, Edad: 26, Direccion: PORTALES, BAJA CALIFORNIA SUR, BAJA CALIFORNIA SUR,23473, Semestre: 10, Num. Inscripcion: 396],
Alumno[Nombre:  Xue Cleta Vargas Cruz, Num. de Cuenta: 3250101, Edad: 21, Direccion: JACARANDAS, CIUDAD DE MEXICO, CIUDAD DE MEXICO,2150, Semestre: 2, Num. Inscripcion: 382],
Alumno[Nombre:  Nieva Ramirez Garcia, Num. de Cuenta: 3210102, Edad: 25, Direccion: VILLA CIERVOS, CIUDAD DE MEXICO, CIUDAD DE MEXICO,9700, Semestre: 10, Num. Inscripcion: 406],
Alumno[Nombre:  Idelia Garcia Flores, Num. de Cuenta: 3210103, Edad: 25, Direccion: AV ALEJANDRO DE LA CRUZ, AGUASCALIENTES, AGUASCALIENTES,20926, Semestre: 10, Num. Inscripcion: 398],
Alumno[Nombre: Aitara Guzman Alvarez, Num. de Cuenta: 3220104, Edad: 24, Direccion: CALLE URUGUAY, CIUDAD DE MEXICO, CIUDAD DE MEXICO,6060, Semestre: 8, Num. Inscripcion: 148],
Alumno[Nombre:  Vidar Sensen Alvarez Gutierrez, Num. de Cuenta: 3210105, Edad: 24, Direccion: AVENIDA AZTECAS, CIUDAD DE MEXICO, CIUDAD DE MEXICO,4300, Semestre: 9, Num. Inscripcion: 155],
Alumno[Nombre:  Numa Juarez Sanchez, Num. de Cuenta: 3220106, Edad: 22, Direccion: RIO FUERTE, BAJA CALIFORNIA, BAJA CALIFORNIA,21240, Semestre: 7, Num. Inscripcion: 310],
Alumno[Nombre:  Imeda Ortiz Sanchez, Num. de Cuenta: 3210107, Edad: 25, Direccion: ERMITA, BAJA CALIFORNIA, BAJA CALIFORNIA,22105, Semestre: 10, Num. Inscripcion: 337],
Alumno[Nombre:  Tabara Elber Contreras Lopez, Num. de Cuenta: 3250108, Edad: 18, Direccion: CALLE 63, CIUDAD DE MEXICO, CIUDAD DE MEXICO,9700, Semestre: 2, Num. Inscripcion: 379],
Alumno[Nombre: Aitara Munoz Rodriguez, Num. de Cuenta: 3230109, Edad: 23, Direccion: AV MEXICO, JALISCO, JALISCO,44600, Semestre: 5, Num. Inscripcion: 384],
Alumno[Nombre:  Kui Dominguez Bautista, Num. de Cuenta: 3250110, Edad: 18, Direccion: MUNICIPIO LIBRE, CIUDAD DE MEXICO, CIUDAD DE MEXICO,3570, Semestre: 2, Num. Inscripcion: 542],
Alumno[Nombre:  Kalani Alvarez Ruiz, Num. de Cuenta: 3250111, Edad: 21, Direccion: AV INSURGENTES SUR, CIUDAD DE MEXICO, CIUDAD DE MEXICO,3100, Semestre: 2, Num. Inscripcion: 495],
Alumno[Nombre:  Naraya Elimar Rodriguez Herrera, Num. de Cuenta: 3210112, Edad: 26, Direccion: PROLONGACION DIVISION DEL NORTE, CIUDAD DE MEXICO, CIUDAD DE MEXICO,14310, Semestre: 9, Num. Inscripcion: 270],
Alumno[Nombre:  Cleta Moreno Medina, Num. de Cuenta: 3240113, Edad: 21, Direccion: FELIPE CARRILLO PUERTO, CIUDAD DE MEXICO, CIUDAD DE MEXICO,11320, Semestre: 3, Num. Inscripcion: 421],
Alumno[Nombre:  Sensen Castillo Rodriguez, Num. de Cuenta: 3210114, Edad: 25, Direccion: SANTA ELENA, COAHUILA, COAHUILA,26284, Semestre: 10, Num. Inscripcion: 234],
Alumno[Nombre:  Maela Maela Rojas Flores, Num. de Cuenta: 3220115, Edad: 25, Direccion: MELCHOR OCAMPO, CIUDAD DE MEXICO, CIUDAD DE MEXICO,11300, Semestre: 8, Num. Inscripcion: 321],
Alumno[Nombre:  Zaharie Vazquez Castro, Num. de Cuenta: 3220116, Edad: 24, Direccion: AVENIDA ANTONIO DE MENDOZA, BAJA CALIFORNIA, BAJA CALIFORNIA,21240, Semestre: 7, Num. Inscripcion: 398],
Alumno[Nombre:  Alane Romero Luna, Num. de Cuenta: 3210117, Edad: 26, Direccion: PROLONGACION GUERRERO, CIUDAD DE MEXICO, CIUDAD DE MEXICO,6920, Semestre: 9, Num. Inscripcion: 296],
Alumno[Nombre:  Haruka Guerrero Munoz, Num. de Cuenta: 3220118, Edad: 24, Direccion: REPUBLICA DEL ECUADOR, CIUDAD DE MEXICO, CIUDAD DE MEXICO,6010, Semestre: 7, Num. Inscripcion: 438],
Alumno[Nombre:  Loira Munoz Vargas, Num. de Cuenta: 3220119, Edad: 24, Direccion: SAN FRANCISCO, CIUDAD DE MEXICO, CIUDAD DE MEXICO,10580, Semestre: 8, Num. Inscripcion: 408],
Alumno[Nombre:  Coco Elimar Aguilar Herrera, Num. de Cuenta: 3250120, Edad: 19, Direccion: AV MICHOACAN, BAJA CALIFORNIA, BAJA CALIFORNIA,21120, Semestre: 1, Num. Inscripcion: 650],
Alumno[Nombre:  Seida Gutierrez Sanchez, Num. de Cuenta: 3230121, Edad: 23, Direccion: BLVD AEROPUERTO KM 2+200, AGUASCALIENTES, AGUASCALIENTES,20340, Semestre: 5, Num. Inscripcion: 422],
